Code,Song_Name,Song_Duration_ms,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Audio_mode,Speechiness,Tempo,Audio_valence,Dynamism,Decibel,Loudness,Song_Popularity,Indicator
EI7,Savior,242280,0.0016072,0.54351,93,6.67E-05,5,193.21,0,73.05,112.447,0.526,Extra,-3.468,Boom,61.01,139.5
EI7,Bodies,201960,0.0034006,0.64944,93.2,0.00147,4,130.8736,0,,130.936,0.544,Extra,-3.405,Boom,61.67,139.8
HI8,"Sugar, We're Goin Down",229093,0.0088004,0.49401,82.4,0,7,135.2569,1,119.1,161.977,0.699,high,-4.741,Blare,62.00,123.6
HI9,Last Nite,193373,0.021854,,89.9,0.000155,0,120.450625,1,,104.055,0.797,Hi,-5.71,Blare,56.86,134.85
HI8,Through Glass,282946,0.040866,,75.3,0,3,192.9321,0,,105.754,0.434,Hi,-4.618,Blare,48.92,112.95
EI8,The Diary of Jane - Single Version,200546,5.42E-05,0.37026,96.1,0.0834,10,129.5044,0,,167.032,0.357,Extra,-4.421,Blare,52.74,144.15
HI8,Down With the Sickness,279213,0.00097608,0.68805,87.6,6.89E-06,3,122.3236,0,82.95,89.954,0.941,Hi,-4.262,Blare,69.80,131.4
HI11,Wish You Were Here,212733,0.00061838,0.24354,76.8,0.301,9,121.4404,1,58.05,169.873,0.35,Hi,-7.48,Roar,40.87,115.2
HI11,Youth Of The Nation,256240,0.0081732,0.55737,86,0.0106,8,193.21,1,93.15,97.867,0.517,,-7.533,Roar,47.85,129
HI7,Vertigo,194520,0.00014994,0.38709,83.1,0.00192,2,130.1881,1,91.95,139.946,0.683,Hi,-3.892,Boom,53.58,124.65
HI8,Miss Murder,206586,0.00020874,0.30591,87.5,0.00168,1,123.8769,1,73.2,143.526,0.725,High,-4.49,Blare,59.37,131.25
EI8,I Bet You Look Good On The Dancefloor,173680,0.002205,0.52965,94.8,0,6,189.3376,0,,103.183,0.778,Extra,-4.19,Blare,57.71,142.2
MI8,"Steady, As She Goes",215266,0.012936,,57.8,0.00921,9,122.7664,1,180,123.669,0.537,Med,-4.563,Blare,51.76,86.7
HI11,Falling Away from Me,270920,0.0001372,0.46332,76.9,0.00124,4,161.5441,1,,104.102,0.17,High,-7.036,Roar,46.16,115.35
EI8,Crawling In The Dark,175026,0.0002891,0.58608,93.2,7.59E-05,6,129.5044,0,132.75,93.675,0.698,,-4.491,Blare,53.27,139.8
EI8,I Stand Alone,246040,4.68E-05,0.21087,93,0,0,126.7876,1,100.65,169.221,0.386,,-4.478,Blare,52.20,139.5
EI7,Woman,176306,5.00E-05,,95.2,0.0989,2,133.8649,1,264,112.886,0.172,Extra,-3.621,Boom,52.12,142.8
HI7,Show Me How to Live,277840,0.00032928,0.42867,85.4,0.000177,9,135.0244,1,,89.4,0.368,,-3.868,Boom,57.33,128.1
HI7,The Red,238400,0.00065758,0.50391,84.3,0.000803,1,181.7104,0,73.2,140.055,0.332,High,-3.318,Boom,58.82,126.45
EI8,Remedy,207213,0.0001764,0.54054,95.9,0.00144,8,112.021056,1,123,127.831,0.416,Extra,-4.664,?,52.86,143.85
EI8,Plug In Baby,218000,6.80E-06,0.40392,96.5,0.000402,2,123.21,1,75,136.018,0.349,,-4.232,Blare,51.62,144.75
HI8,Change (In the House of Flies) - In The House Of Flies LP Version,299533,0.00024402,0.26631,85.3,0.000246,7,124.9924,0,128.1,141.581,0.179,High,-4.647,Blare,52.12,127.95
HI8,Judith,247266,3.25E-05,0.36135,89.4,0.171,11,160.5289,0,85.8,82.305,0.31,High,-4.682,Blare,50.47,134.1
MI10,MIA (feat. Drake),210367,0.014014,0.80982,54,0.000512,6,120.7801,0,,97.064,0.174,,-6.35,Roar,58.65,81
H08,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",212500,0.14994,0.83259,79.8,3.33E-06,1,112.741924,0,343.5,95.948,0.591,,-4.206,Blare,71.01,119.7
MI10,White Boi,185282,0.096334,0.8217,49.7,0,1,118.940836,1,,127.965,0.634,Med,-6.94,?,43.83,74.55
HI10,Just Wanna Love You (feat. J. Balvin),199230,0.054586,0.68013,76.6,0.00107,11,131.3316,1,,94.973,0.303,Hi,-6.08,Roar,49.11,114.9
HI8,Beautiful (feat. Camila Cabello),180000,0.33908,0.63162,71.7,0,2,122.1025,1,50.55,100.027,0.249,,-4.722,Blare,63.35,107.55
HI8,Celoso,179693,0.34496,0.73854,70.3,0,4,177.1561,0,160.5,166.043,0.667,high,-4.179,Blare,66.81,105.45
HI7,Good Vibes,235720,0.034104,0.81477,63,6.72E-06,7,120.209296,1,119.55,100.04,0.184,Hi,-3.932,Boom,56.42,94.5
MI10,Real Friends,223583,0.2303,0.69399,51.2,5.07E-06,0,128.8225,0,145.35,91.947,0.663,m,-6.869,?,58.05,76.8
HI10,Pa La Calle,243487,0.11466,0.68805,88.4,0,0,121.8816,1,196.5,74.992,0.854,high,-6.279,Roar,53.39,132.6
M012,Pa Mí,210865,0.70168,,58.4,0.000321,11,124.3225,0,477,169.978,0.646,Medium,-8.467,Clang,41.11,87.6
MI9,Wake Up in the Sky,204664,0.0037338,0.792,57.8,0,4,184.6881,0,72.75,143.01,0.367,Med,-5.144,Blare,61.79,86.7
H08,Está Rico,215151,0.26068,0.80883,74,0,11,120.824064,0,424.5,130.04,0.674,High,-4.566,Blare,63.88,111
HI9,Banana Clip - Spanish Version,202373,0.10486,0.39402,66,0,1,125.6641,0,180,83.828,0.719,High,-5.626,?,48.37,99
HI9,YAKWTFGO (feat. Kali Uchis),162733,0.0038906,0.80388,74.8,0,5,137.8276,0,208.5,132.035,0.158,High,-5.959,Blare,34.05,112.2
HI8,Come With Me,157461,0.051548,0.65241,73.4,2.48E-06,10,154.2564,1,69,161.971,0.346,Hi,-4.008,?,42.78,110.1
HI8,Como Si Na,170997,0.22736,0.69795,77.8,0,9,154.7536,0,265.5,160.099,0.709,High,-4.101,Blare,51.55,116.7
H08,Blah,188440,0.02499,,68.7,0.000207,11,126.3376,0,300,173.747,0.777,Hi,-4.632,Blare,48.16,103.05
M011,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),253714,0.025186,0.91872,40.2,0,8,116.726416,0,676.5,139.998,0.62,Medium,-7.569,Roar,45.50,60.3
HI11,Mi Infinita,272000,0.88396,0.46035,67.5,0.267,10,123.21,1,72.75,119.941,0.129,High,-7.555,Roar,37.59,101.25
HI14,Coqueta,174000,0.55958,0.62568,65.2,0.85,4,142.5636,1,45.3,115.031,0.594,Hi,-10.558,Rumble,32.60,97.8
LI14,Sola,209573,0.90258,0.46629,17.9,0,9,121.2201,1,133.5,174.273,0.194,Low,-10.273,Rumble,37.80,26.85
MI10,Nuestro Planeta (feat. Reykon),202754,0.083986,0.86229,54.5,0.000499,0,115.691536,0,93.75,96.035,0.415,Med,-6.466,Roar,38.43,81.75
HI11,Hijo de Su Madre,178009,0.063308,0.82071,60.6,0.391,5,164.0961,1,223.5,118.051,0.732,high,-7.093,Roar,46.80,90.9
HI9,Lento,169251,0.14602,0.82863,64.9,7.63E-05,11,121.6609,0,288,164.002,0.948,Hi,-5.26,Blare,61.41,97.35
HI9,Dicen,220826,0.13426,,63.5,7.85E-06,5,155.0025,0,,103.029,0.777,Hi,-5.719,Blare,59.99,95.25
EI7,BEBE,217822,0.16856,0.62865,90.2,0,0,126.5625,1,,102.063,0.286,,-3.559,Boom,69.22,135.3
HI7,I Like It,253390,0.09702,0.80784,72.6,0,5,188.2384,0,193.5,136.048,0.65,High,-3.998,?,71.97,108.9
HI9,Zooted (feat. French Montana & Farruko),217652,0.26166,,62.6,1.31E-05,6,162.5625,1,154.5,109.989,0.571,high,-5.139,Blare,55.32,93.9
MI8,Havana - Remix,199095,0.39004,0.74349,57.9,2.28E-05,2,128.3689,1,,105.031,0.349,Medium,-4.036,Blare,58.22,86.85
EI5,Pum Pum,185743,0.073402,0.72864,90.6,0.000123,4,125.44,0,84.9,93.013,0.611,Extra,-1.49,?,59.86,135.9
HI9,Quiero Saber,166253,0.002401,0.68805,81.8,3.36E-06,6,170.3025,0,,102.976,0.599,Hi,-5.532,Blare,42.97,122.7
HI7,Como,234373,0.0031654,0.53757,84.7,0,9,111.323601,1,98.85,92.046,0.65,High,-3.574,Boom,45.18,127.05
HI8,Anywhere Contigo,193846,0.26558,0.83259,84.1,2.60E-05,9,122.7664,1,,104.01,0.823,High,-4.288,Blare,50.57,126.15
M013,No Gratis,208800,0.4165,0.76923,54.6,0,7,116.834481,1,,147.173,0.952,Med,-9.504,Clang,42.98,81.9
HI8,Díganle - Tainy Remix,211437,0.09996,0.8316,78.9,0,1,171.3481,0,142.35,92.018,0.619,High,-4.695,Blare,58.17,118.35
HI7,Sangria Wine,202853,0.17738,,71.3,0,1,111.767184,0,,132.109,0.69,high,-3.646,Boom,63.95,106.95
MI12,All Day,198386,0.078106,0.81675,48.1,0,2,153.5121,1,59.4,121.046,0.761,Medium,-8.6,Clang,37.24,72.15
HI9,Just As I Am,224413,0.2303,,75.1,0,8,123.21,0,101.25,129.937,0.708,High,-5.812,Blare,45.78,112.65
HI8,Nice & Slow,218448,0.0068012,,61.6,0.00237,5,164.6089,0,62.25,127.023,0.697,Hi,-4.599,Blare,41.85,92.4
EI5,Scooby Doo Pa Pa (Remix),176702,0.19208,0.91179,96.5,0.000201,1,175.0329,1,,120.902,0.507,Extra,-1.396,?,66.26,144.75
HI12,Don't Werk,133120,0.10584,0.69597,61.7,5.61E-05,7,161.5441,1,109.65,123.159,0.435,Hi,-8.732,Clang,26.91,92.55
HI7,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526,0.1617,0.78408,89.5,0,1,110.271001,0,88.35,94.968,0.794,Hi,-3.112,Boom,76.03,134.25
MI11,Pa Mi (with Ozuna),216689,0.096334,0.59004,55.7,0,1,111.619225,0,201,133.247,0.661,Medium,-7.522,Roar,52.60,83.55
H07,Lo Siento,226183,0.06909,0.73854,73.8,0,9,108.7849,1,310.5,94.808,0.63,Hi,-3.67,Boom,59.22,110.7
HI8,Nuestra Cancion Pt. 2 (feat. Arcángel),215003,0.007742,0.48807,82.5,0,8,127.4641,1,119.7,99.866,0.621,Hi,-4.056,Blare,46.23,123.75
HI9,La Hora Loca,175239,0.042042,0.82764,72.5,0,7,122.7664,0,85.65,126.035,0.76,,-5.445,Blare,43.25,108.75
HI8,Dinero - English Version,161093,0.0042728,0.69399,77.9,0,11,125.6641,0,97.05,119.974,0.451,High,-4.657,Blare,36.15,116.85
MI12,Pum Pum (feat. Kap G & Play-N-Skillz),182224,0.14602,0.86229,56.3,0,10,111.682624,0,119.25,91.998,0.62,Med,-8.329,Clang,37.94,84.45
HI9,Hora Loca,215421,0.049686,0.6435,80.1,0,7,113.316025,0,108.45,166.16,0.74,high,-5.407,Blare,53.75,120.15
MI11,Better With You,196018,0.2597,0.77616,43.7,6.98E-05,5,126.7876,1,76.35,90.003,0.47,,-7.868,Roar,44.03,65.55
HI8,NIGHTS LIKE THESE,204453,0.13034,,72.9,0,2,130.6449,1,241.5,78.833,0.421,Hi,-4.934,Blare,46.42,109.35
MI9,Alright,229038,0.019502,,58,0,5,112.763161,1,62.1,84.98,0.294,Medium,-5.612,Blare,35.68,87
HI7,Insecure,191906,0.36162,0.47817,68.5,0,10,117.007489,0,,185.502,0.546,,-3.232,Boom,51.94,102.75
HI6,Si Una Vez - (If I Once)[Spanglish Version],237860,0.074676,0.6138,82.3,3.13E-05,5,123.6544,1,85.05,175.921,0.404,High,-2.436,Boom,55.68,123.45
HI8,Finesse (Remix) [feat. Cardi B],217288,0.01813,0.69696,85.9,0,5,104.346225,0,149.4,105.115,0.926,,-4.877,Blare,71.75,128.85
HI9,Belong To U,202574,0.57428,0.62667,76.5,6.89E-05,1,120.253156,1,,100.934,0.489,,-5.732,Blare,37.14,114.75
HI10,Sunny Daze,167823,0.55762,0.84447,71.4,0.0101,7,114.832656,1,115.05,92.375,0.836,Hi,-6.177,Roar,41.62,107.1
HI8,"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",241135,0.063896,0.792,83.7,4.52E-05,7,114.468601,1,,105.026,0.813,High,-4.488,Blare,47.45,125.55
HI9,Island,194011,0.11564,0.73557,79.3,6.07E-05,2,150.5529,0,81.9,109.921,0.434,high,-5.032,Blare,35.10,118.95
H010,Crazy In Love,236133,0.0024402,,77,0,2,114.811225,0,,99.165,0.681,High,-6.596,Roar,56.22,115.5
HI10,Rock Your Body,267266,0.19796,0.88209,71.4,0.000234,4,110.691441,0,,100.972,0.818,Hi,-6.055,Roar,59.37,107.1
HI9,Beautiful Girls,241933,0.15582,0.73755,66.6,0,9,169.5204,1,84.9,129.995,0.708,High,-5.899,Blare,24.22,99.9
HI7,Toxic,198813,0.027342,0.76626,84.7,0.0183,5,154.0081,0,181.5,143.011,0.923,,-3.925,Boom,63.10,127.05
H06,Michael Jackson x Mark Ronson: Diamonds are Invincible,300026,0.33516,0.66528,83.2,0.000428,11,154.2564,0,513,117.298,0.549,Hi,-2.388,Boom,66.23,124.8
HI8,Yeah!,250373,0.017934,0.88506,79.1,0,2,107.910544,1,,105.018,0.583,High,-4.699,Blare,59.86,118.65
H07,Live Your Life (feat. Rihanna),338853,0.06958,0.37125,86.2,0,11,146.6521,0,,159.841,0.478,Hi,-3.363,Boom,63.16,129.3
HI9,Hips Don't Lie,218093,0.27832,0.77022,82.4,0,10,197.4025,0,106.8,100.024,0.756,Hi,-5.892,Blare,62.34,123.6
HI8,"Hey, Soul Sister",216666,0.21266,0.66825,88.5,0,1,117.9396,0,65.4,97.03,0.768,High,-4.432,Blare,63.95,132.75
HI9,Pumped Up Kicks,239600,0.1421,0.72567,71,0.115,5,120.033936,0,43.8,127.975,0.965,,-5.849,Blare,70.77,106.5
HI10,Love Never Felt so Good,246026,0.12936,0.76725,71.9,1.79E-06,7,113.678244,0,65.25,117.513,0.712,High,-6.212,Roar,55.53,107.85
HI8,Hall of Fame,202533,0.063994,0.41679,87.3,0,10,126.1129,1,,84.803,0.63,High,-4.343,Blare,58.62,130.95
MI11,All of Me,269560,0.90356,,26.4,0,8,128.1424,1,48.3,119.93,0.331,Medium,-7.064,?,53.63,39.6
HI9,Drops of Jupiter,259933,0.15092,,64,0,0,133.1716,1,41.25,79.297,0.499,,-5.862,Blare,54.48,96
HI9,We Can't Stop,231240,0.0086436,0.60687,62.2,0,1,187.69,0,,80.003,0.484,High,-5.794,Blare,54.21,93.3
E05,Fighter,245960,0.2303,0.43065,92,0.000353,4,240.8704,0,,188.899,0.45,Extra,-1.357,Blast,71.14,138
HI9,Since U Been Gone,188960,0.001617,0.65538,74.1,0.0303,0,124.0996,1,50.1,131,0.404,High,-5.406,Blare,52.56,111.15
EI6,Hey Ya! - Radio Mix / Club Mix,235213,0.10094,,97.4,0.000532,4,138.0625,0,99.75,79.526,0.965,Extra,-2.261,Boom,82.20,146.1
HI6,TiK ToK,199693,0.073108,0.74745,83.2,1.27E-06,2,166.6681,0,174,120.032,0.735,Hi,-2.741,Boom,67.73,124.8
HI9,Look At Me Now,223933,0.043022,0.75636,69.4,3.67E-06,11,139.24,0,283.5,146.075,0.581,Hi,-5.745,Blare,52.21,104.1
MI9,SexyBack,242733,0.057232,0.95733,58.3,0,7,110.649361,0,118.35,117,0.964,Medium,-5.562,Blare,68.08,87.45
HI8,With You,252160,0.14014,0.65241,69.6,0,3,127.69,1,106.5,86.001,0.665,Hi,-4.291,Blare,58.09,104.4
HI8,Breakeven,261426,0.16954,,69.8,0,10,116.402521,1,36.6,94.023,0.529,,-4.51,Blare,58.29,104.7
HI9,I Know You Want Me (Calle Ocho),237120,0.013916,0.81576,74.3,2.12E-05,2,153.0169,1,,127.046,0.804,Hi,-5.995,?,54.27,111.45
EI8,Bye Bye Bye,200400,0.03038,0.6039,92.6,0.0012,8,117.094041,0,71.85,172.638,0.861,Extra,-4.843,?,63.48,138.9
HI9,Complicated,244506,0.056056,0.57915,77.6,7.74E-06,5,169,1,,77.987,0.427,High,-5.898,Blare,52.93,116.4
MI12,Let Me Love You,256733,0.2303,,57.8,0,7,124.9924,0,138.3,94.514,0.556,Medium,-8.97,Clang,50.14,86.7
MI7,Beautiful,238560,0.56644,0.45243,57.3,3.05E-06,5,124.0996,0,41.25,76.193,0.0992,Medium,-3.866,?,56.64,85.95
HI8,Raise Your Glass,203306,0.0059878,0.69399,70,0,7,105.987025,1,131.4,122.035,0.625,Hi,-4.934,Blare,46.86,105
EI8,Timber,204160,0.02891,0.57519,96.3,0,11,129.7321,1,147.15,129.992,0.788,Extra,-4.087,Blare,64.82,144.45
HI6,What Makes You Beautiful,198053,0.0074578,0.72171,77.1,0,4,118.1569,1,108.75,125.011,0.873,,-2.451,Boom,73.07,115.65
MI9,No One,253813,0.0294,,55.2,6.47E-06,1,123.4321,0,,89.969,0.158,Med,-5.419,?,54.12,82.8
EI8,Sk8er Boi,204000,6.65E-05,0.48213,90,0,0,184.4164,1,72.3,149.937,0.484,Extra,-4.417,Blare,52.97,135
HI9,Womanizer,224400,0.07154,,69.5,0,11,118.570321,1,93.3,139,0.235,Hi,-5.226,Blare,53.10,104.25
EI7,Give Me Everything,252306,0.18816,0.66429,93.9,0,8,168.4804,1,241.5,129.023,0.529,,-3.206,Boom,63.45,140.85
M09,Single Ladies (Put a Ring on It),193213,0.037534,0.42174,58.4,0,1,141.1344,1,444,193.437,0.272,Medium,-5.293,Blare,50.67,87.6
HI9,Bleeding Love,262466,0.18424,0.63162,65.6,0,5,131.3316,1,53.55,104.036,0.225,Hi,-5.886,Blare,53.98,98.4
HI9,Lose My Breath,242013,0.0071246,0.80586,89.9,0.219,1,120.538441,1,95.55,119.011,0.545,High,-5.958,Blare,47.21,134.85
HI7,Love Song,258826,0.020384,0.57717,78.6,0,2,141.1344,0,,123.052,0.573,,-3.142,Boom,65.53,117.9
H09,Ms. Jackson,270506,0.13916,0.83457,80.5,0,4,116.014441,0,403.5,94.946,0.615,,-5.946,Blare,56.22,120.75
HI8,Die Young,211920,0.0048804,0.70389,70,0.000125,1,147.6225,0,,128.001,0.801,High,-4.805,Blare,61.08,105
E06,Survivor,254040,0.052234,0.51876,90.4,0,8,315.4176,1,,161.188,0.655,Extra,-2.071,Boom,65.88,135.6
HI9,Oops!...I Did It Again,211160,0.294,0.74349,83.4,1.77E-05,1,183.6025,0,65.55,95.053,0.894,,-5.444,Blare,64.96,125.1
HI10,Cry Me a River,288333,0.5635,0.61776,65.3,0,8,121.8816,0,264,73.884,0.565,High,-6.582,Roar,53.36,97.95
HI12,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,248413,0.041748,0.78606,81.1,1.07E-06,6,121.2201,0,57,116.047,0.862,High,-8.966,Clang,56.71,121.65
HI10,Whatever You Like,249533,0.015778,0.6732,68.7,0,9,159.0121,0,,150.053,0.467,Hi,-6.162,Roar,51.69,103.05
MI14,"One, Two Step",203786,0.04116,0.93456,51.1,0.00107,5,107.723641,0,,113.046,0.842,Med,-10.96,Rumble,53.83,76.65
HI10,Unwritten,259333,0.0056546,0.69894,80.1,0,5,117.115684,1,,100.013,0.63,,-6.333,Roar,54.92,120.15
MI10,Wrecking Ball,221360,0.39886,0.5247,42.2,0,5,122.5449,1,,119.964,0.349,Medium,-6.262,Roar,49.63,63.3
HI7,So What,215160,0.00029792,0.52965,88.6,2.26E-06,11,158.0049,1,67.5,126.012,0.445,Hi,-3.106,?,57.56,132.9
HI8,"Whenever, Wherever",196160,0.23128,0.78507,83.2,1.12E-05,1,144.4804,0,60.9,107.661,0.872,,-4.862,Blare,65.29,124.8
M013,Baby Boy,244826,0.08085,0.64845,48.8,1.16E-06,1,149.0841,1,330,91.025,0.791,Med,-9.17,Clang,49.88,73.2
HI8,It's Gonna Be Me,192426,0.039886,,87.3,1.27E-06,0,107.578384,0,106.5,165.071,0.908,High,-4.672,Blare,62.91,130.95
MI12,My Boo,223440,0.25186,0.65538,50.7,0,5,109.516225,1,177,86.412,0.676,Medium,-8.238,Clang,51.78,76.05
EI9,Sex on Fire,203346,0.0016856,,90.5,0.0104,9,129.0496,1,81,153.398,0.374,Extra,-5.653,Blare,54.76,135.75
EI9,Stronger (What Doesn't Kill You),221920,0.040278,0.54945,92.3,0,0,123.6544,1,72.3,116.012,0.682,,-5.908,?,44.34,138.45
HI9,Over My Head (Cable Car),236373,0.019992,0.58509,69.9,0,8,112.656996,1,67.35,116.029,0.733,Hi,-5.221,Blare,51.85,104.85
HI8,For the First Time,252853,0.032144,0.39204,62.9,0,9,139.9489,1,43.05,173.794,0.358,high,-4.78,Blare,49.95,94.35
EI6,Girlfriend,216600,0.00072324,0.5544,95.9,0.000206,7,146.1681,1,153,163.983,0.67,Extra,-2.433,Boom,67.06,143.85
HI11,Fallin',210200,0.25774,0.64647,60.9,0.00101,11,152.0289,0,,95.982,0.482,high,-7.519,Roar,48.97,91.35
HI9,Use Somebody,230760,0.0054096,0.27324,71.5,0.000417,0,144.2401,1,,137.028,0.173,High,-5.356,Blare,54.12,107.25
HI8,How to Save a Life,262533,0.26362,0.6336,74.3,0,10,121.2201,1,56.85,122.035,0.361,High,-4.08,Blare,61.75,111.45
HI8,Not Over You,218520,0.2499,0.6237,89.4,0,10,139.4761,1,81.6,142.051,0.364,,-4.592,Blare,52.34,134.1
HI7,Before He Cheats,199946,0.26558,0.51381,74.9,0,6,125.2161,0,60.75,147.905,0.29,Hi,-3.318,Boom,59.20,112.35
H07,Dirrty (feat. Redman),298853,0.10486,0.6336,88.9,0,2,179.2921,1,483,99.931,0.436,,-3.073,Boom,61.89,133.35
HI8,Caught Up,224946,0.024598,0.80685,80.8,5.37E-06,6,125.44,1,,110.063,0.746,High,-4.614,Blare,39.69,121.2
MI13,If I Ain't Got You,228706,0.59094,0.60291,44.5,6.77E-06,7,121.8816,1,,118.393,0.166,Medium,-9.129,Clang,47.26,66.75
HI10,Wherever You Will Go,209360,0.038416,0.54549,69.6,0,2,127.0129,1,39.75,112.024,0.354,,-6.192,Roar,46.22,104.4
HI9,You Found Me,241853,0.018326,,80.3,0,8,129.0496,0,61.95,151.994,0.4,high,-5.412,Blare,53.58,120.45
